round,leader,write_status,write_latency_ms,immediate_stale_reads,replica_count,read_latency_avg_ms,read_latency_min_ms,read_latency_max_ms,convergence_ms,error
56,http://18.233.244.123:8000,200,133.7439999988419,0,3,562.3777666696697,341.26060000562575,981.744400000025,1338.284699995711,
57,http://18.233.244.123:8000,200,145.15360000223154,0,3,543.7740999987,126.30280000303173,788.1704999963404,1287.6179000013508,
58,http://18.233.244.123:8000,200,607.3796000055154,0,3,446.8769000013708,291.00409999955446,721.6163000048255,1294.408800000383,
59,http://18.233.244.123:8000,200,378.2190999991144,0,3,364.63900000186794,135.6422000026214,528.7112000005436,578.4933000031742,
60,http://18.233.244.123:8000,200,516.1789000048884,0,3,170.99649999727262,110.05060000024969,263.24219999514753,327.14129999658326,
61,http://18.233.244.123:8000,200,88.64929999981541,0,3,109.58369999813537,70.72429999971064,181.8649999986519,387.13909999933094,
62,http://18.233.244.123:8000,200,92.71679999801563,0,3,112.64460000044589,76.52049999887822,182.80919999961043,564.2223000031663,
63,http://18.233.244.123:8000,200,152.18599999934668,0,3,566.7961666670939,370.8580000020447,701.3768999968306,1079.4889999961015,
64,http://18.233.244.123:8000,200,90.62890000495827,0,3,441.942533335047,311.7513999968651,574.391200003447,1041.8220999999903,
65,http://18.233.244.123:8000,200,306.69099999795435,0,3,475.48126666758134,401.18580000125803,609.0217000019038,1029.0838000000804,
66,http://18.233.244.123:8000,200,361.25239999819314,0,3,371.8561333347073,257.019600001513,460.32910000212723,1433.8227999978699,
67,http://18.233.244.123:8000,200,512.5112999958219,0,3,388.1206000005477,170.14389999530977,705.1654000024428,1740.6523000026937,
68,http://18.233.244.123:8000,200,723.4947999968426,0,3,352.82283333314507,260.2804999987711,500.4878000036115,1215.7331999987946,
69,http://18.233.244.123:8000,200,96.13250000256812,0,3,205.35856666780697,201.9819000051939,210.18149999872549,1396.095800002513,
70,http://18.233.244.123:8000,200,390.2488999956404,0,3,359.34573333361186,142.01429999957327,656.2622999990708,1161.2867999938317,
71,http://18.233.244.123:8000,200,261.86739999684505,0,3,319.63483333189896,251.04959999589482,404.17709999746876,1711.3524000014877,
72,http://18.233.244.123:8000,200,966.2026000005426,0,3,288.2630000046144,64.45660000463249,448.0935000028694,848.332699999446,
73,http://18.233.244.123:8000,200,129.59869999758666,0,3,479.7117333315934,374.91289999888977,553.8778999980423,1864.435700001195,
74,http://18.233.244.123:8000,200,373.56759999966016,0,3,561.7864333325997,306.3648999959696,717.8299000006518,1738.6680000054184,
75,http://18.233.244.123:8000,200,411.6384999942966,0,3,589.1615000000456,331.2630000000354,785.0391999963904,1037.393799997517,
76,http://18.233.244.123:8000,200,774.5569000035175,0,3,540.9074333341172,428.03380000259494,718.6063999979524,1430.8203000036883,
77,http://18.233.244.123:8000,200,443.169799997122,0,3,373.90023333621986,227.3711000016192,573.9362000022084,1197.0032999961404,
78,http://18.233.244.123:8000,200,433.1416999993962,0,3,317.66403333313065,250.71110000135377,405.30179999768734,1608.3600999991177,
79,http://18.233.244.123:8000,200,476.5500999928918,0,3,334.56036666757427,92.69549999589799,545.7644000052824,863.5098000013386,
80,http://18.233.244.123:8000,200,116.79219999496127,0,3,218.90169999824138,79.45199999812758,471.61059999780264,989.8803000032785,
81,http://18.233.244.123:8000,200,75.19480000337353,0,3,114.91733333241427,64.54269999812823,194.5655000017723,316.49230000039097,
82,http://18.233.244.123:8000,200,103.92500000307336,0,3,112.58213333348976,65.29299999965588,179.8041000001831,361.02350000146544,
83,http://18.233.244.123:8000,200,94.93609999481123,0,3,114.78509999869857,65.32599999627564,184.58699999609962,411.65490000275895,
84,http://18.233.244.123:8000,200,84.53520000330172,0,3,113.19576666573994,66.1404999991646,184.99159999919357,330.2941000001738,
85,http://18.233.244.123:8000,200,79.57979999628151,0,3,107.68750000230891,59.813100000610575,183.17860000388464,700.3417000014451,
86,http://18.233.244.123:8000,200,333.49550000275485,0,3,335.01006666726124,306.00219999905676,361.07780000020284,1189.442800001416,
87,http://18.233.244.123:8000,200,102.35360000660876,0,3,398.40766666748095,152.19310000247788,655.7648000016343,1113.4958999973605,
88,http://18.233.244.123:8000,200,306.91630000364967,0,3,351.7833000005339,309.2956000036793,416.6566999992938,1262.3333000010462,
89,http://18.233.244.123:8000,200,103.78339999442687,0,3,383.4148999982669,157.39219999522902,687.396200002695,1215.7399999996414,
90,http://18.233.244.123:8000,200,457.83070000470616,0,3,405.8268666655446,162.33049999573268,799.4543000022531,1075.9757999985595,
91,http://18.233.244.123:8000,200,74.77510000171605,0,3,212.05823333245158,76.0214999972959,477.3203000004287,1171.6483999989578,
92,http://18.233.244.123:8000,200,248.8807999980054,0,3,443.26666666408227,73.03069999761647,713.200300000608,1426.212200000009,
93,http://18.233.244.123:8000,200,352.7721999998903,0,3,427.07246666395804,258.10899999487447,684.4454999954905,1176.1349999942468,
94,http://18.233.244.123:8000,200,783.4656000050018,0,3,455.2912333359321,306.6316000040388,717.2642000004998,1715.734400000656,
95,http://18.233.244.123:8000,200,632.2538000022178,0,3,342.055466666352,279.87710000161314,436.8507999970461,1267.1917999978177,
96,http://18.233.244.123:8000,200,686.5216000005603,0,3,341.0561333342533,256.7371999975876,391.9034999998985,1385.6228000004194,
97,http://18.233.244.123:8000,200,568.8339000043925,0,3,337.0490999999068,79.22580000013113,625.5684999996447,1433.5970999964047,
98,http://18.233.244.123:8000,200,304.1680999958771,0,3,500.5518666633482,267.7124999972875,687.1615999989444,736.6327000054298,
99,http://18.233.244.123:8000,200,311.6318000029423,0,3,340.41916666804656,73.43979999859584,631.3492000044789,1721.8939000013052,
100,http://18.233.244.123:8000,200,407.6195000016014,0,3,443.1814999989001,177.93859999801498,740.7801000008476,1186.136299998907,
