round,leader,write_status,write_latency_ms,immediate_stale_reads,replica_count,read_latency_avg_ms,read_latency_min_ms,read_latency_max_ms,convergence_ms,error
1,http://100.27.191.136:8000,200,408.4440000005998,0,3,252.36989999878764,147.4908999953186,406.3848000005237,786.7786999995587,
2,http://100.27.191.136:8000,200,329.1922999997041,0,3,250.26133333449252,146.5918999965652,376.58360000204993,1055.6529999958002,
3,http://100.27.191.136:8000,200,358.94790000020294,0,3,444.03590000001714,309.74609999975655,660.6255000006058,1681.0056000031182,
4,http://100.27.191.136:8000,200,291.27149999840185,0,3,496.69790000189096,163.15620000386843,678.3981999979005,972.6964000001317,
5,http://100.27.191.136:8000,200,58.719900000141934,0,3,181.87369999941438,104.96469999634428,292.95409999758704,1338.4581999998773,
6,http://100.27.191.136:8000,200,69.1923999984283,0,3,411.6368666655035,227.50129999622004,620.3753000008874,769.5715000008931,
7,http://100.27.191.136:8000,200,275.4754999987199,0,3,414.67130000091856,207.9130999991321,541.3409000029787,704.0927999987616,
8,http://100.27.191.136:8000,200,131.13570000132313,0,3,454.8053333322362,97.60019999521319,776.1597999997321,1224.6304000000237,
9,http://100.27.191.136:8000,200,143.79110000299988,0,3,600.860233331332,226.4833000008366,800.6155999973998,1201.5895000004093,
10,http://100.27.191.136:8000,200,394.52239999809535,0,3,315.230733336648,177.8180000037537,476.3814000034472,998.7709999986691,
11,http://100.27.191.136:8000,200,111.96000000200002,0,3,158.50540000246838,116.68190000636969,225.65960000065388,1578.5321000003023,
12,http://100.27.191.136:8000,200,983.1938999996055,0,3,459.5555999985663,275.1946999997017,560.6974999973318,668.9418000023579,
13,http://100.27.191.136:8000,200,196.52620000124443,0,3,287.08496666513383,241.24989999836544,312.0091999953729,890.9749000013107,
14,http://100.27.191.136:8000,200,339.7307000050205,0,3,420.89056666736724,270.5723000035505,688.3411999951932,778.4018000020296,
15,http://100.27.191.136:8000,200,621.7174999983399,0,3,333.7783000000248,285.7612000007066,421.7860999997356,1036.7937999981223,
16,http://100.27.191.136:8000,200,579.6969000002719,0,3,78.3155000002201,70.28759999957401,85.61380000173813,783.235999995668,
17,http://100.27.191.136:8000,200,89.04359999723965,0,3,73.74596666583481,55.52750000060769,93.8964999950258,191.0617999965325,
18,http://100.27.191.136:8000,200,68.18649999331683,0,3,66.14789999972952,63.483799996902235,70.9673000019393,178.18090000218945,
19,http://100.27.191.136:8000,200,81.33490000182064,0,3,70.78279999889976,59.394500000053085,83.37359999859473,217.62410000519594,
20,http://100.27.191.136:8000,200,66.48739999945974,0,3,68.0837999995371,59.416199997940566,76.46509999904083,700.2311000032932,
21,http://100.27.191.136:8000,200,643.0625000066357,0,3,309.31379999916925,264.85849999880884,347.28439999889815,1095.4985999997007,
22,http://100.27.191.136:8000,200,638.609900001029,0,3,338.52376666861045,322.4558000001707,353.22930000256747,576.1958000002778,
23,http://100.27.191.136:8000,200,297.2592000005534,0,3,377.6604999996683,85.66969999810681,700.200200000836,618.3172000019113,
24,http://100.27.191.136:8000,200,367.97260000457754,0,3,207.87180000237035,149.62000000377884,279.5590000023367,844.2535000067437,
25,http://100.27.191.136:8000,200,726.3834999976098,0,3,334.6556333344779,155.58070000406587,675.6654999990133,1685.570400004508,
26,http://100.27.191.136:8000,200,62.02119999943534,0,3,404.295800003941,230.7576000021072,628.5590000043157,811.9214000034845,
